Landblock Hex	Landblock Dec	Dungeon Name	Drop Loc	Wiki Link	WeenieClassId	WeenieDesc	aceObjectId	Portal Name	Portal Loc	Portal Coordinates	Portal Restrictions	NPC Name	Gem Name	Gateway	Notes	Spreadsheet Info
00B0	176	Colosseum 1 Stage 15	0x00B00141 30.000000 -313.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B0	34530		2447686416	Arena 15	0x00B00142 30 -376 0 1 0 0 0	00B0	QF NS NR NT					
00B0	176	Colosseum 1 Stage 16	0x00B0013E 30.000000 -223.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B0	34531		2447687075	Arena 16	0x00B0013F 30 -286 0 1 0 0 0	00B0	QF NS NR NT					
00B0	176	Colosseum 1 Stage 17	0x00B0013B 30.000000 -133.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B0	34532		2447688039	Arena 17	0x00B0013C 30 -196 0 1 0 0 0	00B0	QF NS NR NT					
00B0	176	Colosseum 1 Stage 18	0x00B00138 30.000000 -43.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B0	34533		2447688789	Arena 18	0x00B00139 30 -106 0 1 0 0 0	00B0	QF NS NR NT					
00B0	176	Colosseum 1 Stage 2	0x00b00168 30 -1483 0.0049999998882413 1 0 0 0	00B0	34517		3704053457	Arena 2	0x00B00169 30 -1546 0 1 0 0 0	00B0	QF NS NR NT					
00B0	176	Colosseum 1 Stage 3	0x00B00165 30.000000 -1393.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B0	34518		3704780660	Arena 3	0x00B00166 30 -1456 0 1 0 0 0	00B0	QF NS NR NT					
00B0	176	Colosseum 1 Stage 4	0x00B00162 30.000000 -1303.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B0	34519		3704783223	Arena 4	0x00B00163 30 -1366 0 1 0 0 0	00B0	QF NS NR NT					
00B0	176	Colosseum 1 Stage 5	0x00B0015F [30.000000 -1213.000000 0.005000] 1.000000 0.000000 0.000000 0.000000	00B0	34520		3703871771	Arena 5	0x00B00160 30 -1276 0 1 0 0 0	00B0	QF NS NR NT					
00B0	176	Colosseum 1 Stage 6	0x00B0015C 30 -1123 0.00599998 1 0 0 0	00B0	34521		3704782118	Arena 6	0x00B0015D 30 -1186 0 1 0 0 0	00B0	QF NS NR NT					
00B0	176	Colosseum 1 Stage 7	0x00B00159 30.000000 -1033.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B0	34522		2447292564	Arena 7	0x00B0015A 30 -1096 0 1 0 0 0	00B0	QF NS NR NT					
00B0	176	Colosseum 1 Stage 8	0x00B00156 30.000000 -943.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B0	34523		2447292184	Arena 8	0x00B00157 30 -1006 0 1 0 0 0	00B0	QF NS NR NT					
00B0	176	Colosseum 1 Stage 9	0x00B00153 30.000000 -853.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B0	34524		2447684040	Arena 9	0x00B00154 30 -916 0 1 0 0 0	00B0	QF NS NR NT					
00B1	177	Colosseum 2 Stage 1	0x00b1016b 30 -1573 0.0049999998882413 1 0 0 0	00B1						00AF	QF NS NR NT				Needs Portal Name - Immortalbob	
00B1	177	Colosseum 2 Stage 10	0x00B10150 30.000000 -763.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34525		2447291778	Arena 10	0x00B10151 30 -826 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 11	0x00B1014D 30.000000 -673.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34526		2447290273	Arena 11	0x00B1014E 30 -736 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 12	0x00B1014A 30.000000 -583.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34527		2447291716	Arena 12	0x00B1014B 30 -646 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 13	0x00B10147 30.000000 -493.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34528		2447291153	Arena 13	0x00B10148 30 -556 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 14	0x00B10144 30.000000 -403.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34529		2447381691	Arena 14	0x00B10145 30 -466 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 15	0x00B10141 30.000000 -313.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34530		2447291445	Arena 15	0x00B10142 30 -376 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 16	0x00B1013E 30.000000 -223.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34531		2447684688	Arena 16	0x00B1013F 30 -286 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 17	0x00B1013B 30.000000 -133.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34532		2447687365	Arena 17	0x00B1013C 30 -196 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 18	0x00B10138 30.000000 -43.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34533		2447688079	Arena 18	0x00B10139 30 -106 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 2	0x00b10168 30 -1483 0.0049999998882413 1 0 0 0	00B1	34517		3704364180	Arena 2	0x00B10169 30 -1546 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 3	0x00B10165 30 -1393 0.00599998 1 0 0 0	00B1	34518		3704775733	Arena 3	0x00B10166 30 -1456 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 4	0x00B10162 30.000000 -1303.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34519		3704777987	Arena 4	0x00B10163 30 -1366 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 5	0x00B1015F 30.000000 -1213.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34520		3703152121	Arena 5	0x00B10160 30 -1276 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 6	0x00B1015C 30.000000 -1123.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34521		3704780030	Arena 6	0x00B1015D 30 -1186 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 7	0x00B10159 30.000000 -1033.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34522		2930438614	Arena 7	0x00B1015A 30 -1096 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 8	0x00B10156 30.000000 -943.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34523		2931225144	Arena 8	0x00B10157 30 -1006 0 1 0 0 0	00B1	QF NS NR NT					
00B1	177	Colosseum 2 Stage 9	0x00B10153 30.000000 -853.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B1	34524		2447689442	Arena 9	0x00B10154 30 -916 0 1 0 0 0	00B1	QF NS NR NT					
00B2	178	Colosseum 3 Stage 1	0x00B2016b 30 -1573 0.0049999998882413 1 0 0 0	00B2						00AF	QF NS NR NT				Needs Portal Name - Immortalbob	
00B2	178	Colosseum 3 Stage 10	0x00B20150 30.000000 -763.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34525		2447490377	Arena 10	0x00B20151 30 -826 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 11	0x00B2014D 30.000000 -673.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34526		2447291849	Arena 11	0x00B2014E 30 -736 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 12	0x00B2014A 30.000000 -583.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34527		2447291040	Arena 12	0x00B2014B 30 -646 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 13	0x00B20147 30.000000 -493.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34528		2447291105	Arena 13	0x00B20148 30 -556 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 14	0x00B20144 30.000000 -403.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34529		2447689776	Arena 14	0x00B20145 30 -466 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 15	0x00B20141 30.000000 -313.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34530		2447684999	Arena 15	0x00B20142 30 -376 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 16	0x00B2013E 30.000000 -223.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34531		2447685625	Arena 16	0x00B2013F 30 -286 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 17	0x00B2013B 30.000000 -133.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34532		2447686834	Arena 17	0x00B2013C 30 -196 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 18	0x00B20138 30.000000 -43.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34533		2447687614	Arena 18	0x00B20139 30 -106 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 2	0x00B20168 30 -1483 0.0049999998882413 1 0 0 0	00B2	34517		3704776531	Arena 2	0x00B20169 30 -1546 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 3	0x00B20165 30 -1393 0.00599998 1 0 0 0	00B2	34518		3704779191	Arena 3	0x00B20166 30 -1456 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 4	0x00B20168 30 -1483 0.0049999998882413 1 0 0 0	00B2	34519		3703358775	Arena 4	0x00B20163 30 -1366 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 5	0x00B2015F 30.000000 -1213.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34520		3703764544	Arena 5	0x00B20160 30 -1276 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 6	0x00B2015C 30.000000 -1123.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34521		3704782097	Arena 6	0x00B2015D 30 -1186 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 7	0x00B20159 30.000000 -1033.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34522		2447292055	Arena 7	0x00B2015A 30 -1096 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 8	0x00B20156 30.000000 -943.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34523		2447292222	Arena 8	0x00B20157 30 -1006 0 1 0 0 0	00B2	QF NS NR NT					
00B2	178	Colosseum 3 Stage 9	0x00B20153 30.000000 -853.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B2	34524		2447292108	Arena 9	0x00B20154 30 -916 0 1 0 0 0	00B2	QF NS NR NT					
00B3	178	Colosseum 4 Stage 1	0x00B3016b 30 -1573 0.0049999998882413 1 0 0 0	00B3						00AF	QF NS NR NT				Needs Portal Name - Immortalbob	
00B3	178	Colosseum 4 Stage 10	0x00B30150 30.000000 -763.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 10		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 11	0x00B3014D 30.000000 -673.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 11		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 12	0x00B3014A 30.000000 -583.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 12		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 13	0x00B30147 30.000000 -493.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 13		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 14	0x00B30144 30.000000 -403.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 14		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 15	0x00B30141 30.000000 -313.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 15		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 16	0x00B3013E 30.000000 -223.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 16		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 17	0x00B3013B 30.000000 -133.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 17		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 18	0x00B30138 30.000000 -43.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 18		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 2	0x00B30168 30 -1483 0.0049999998882413 1 0 0 0	00B3				Arena 2		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 3	0x00B30165 30 -1393 0.00599998 1 0 0 0	00B3				Arena 3		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 4	0x00B30162 30.000000 -1303.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 4		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 5	0x00B3015F 30.000000 -1213.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 5		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 6	0x00B3015C 30.000000 -1123.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 6		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 7	0x00B30159 30.000000 -1033.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 7		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 8	0x00B30156 30.000000 -943.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 8		00B3	QF NS NR NT					
00B3	178	Colosseum 4 Stage 9	0x00B30153 30.000000 -853.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B3				Arena 9		00B3	QF NS NR NT					
00B4	178	Colosseum 5 Stage 1	0x00B4016b 30 -1573 0.0049999998882413 1 0 0 0	00B4						00AF	QF NS NR NT				Needs Portal Name - Immortalbob	
00B4	178	Colosseum 5 Stage 10	0x00B40150 30.000000 -763.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 10		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 11	0x00B4014D 30.000000 -673.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 11		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 12	0x00B4014A 30.000000 -583.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 12		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 13	0x00B40147 30.000000 -493.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 13		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 14	0x00B40144 30.000000 -403.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 14		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 15	0x00B40141 30.000000 -313.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 15		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 16	0x00B4013E 30.000000 -223.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 16		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 17	0x00B4013B 30.000000 -133.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 17		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 18	0x00B40138 30.000000 -43.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 18		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 2	0x00B40168 30 -1483 0.0049999998882413 1 0 0 0	00B4	34517		3704774872	Arena 2	0x00B40169 30 -1546 0 1 0 0 0	00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 3	0x00B40165 30 -1393 0.00599998 1 0 0 0	00B4	34518		3704671149	Arena 3	0x00B40166 30 -1456 0 1 0 0 0	00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 4	0x00B40162 30.000000 -1303.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4	34519		3703763778	Arena 4	0x00B40163 30 -1366 0 1 0 0 0	00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 5	0x00B4015F 30.000000 -1213.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 5		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 6	0x00B4015C 30.000000 -1123.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 6		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 7	0x00B40159 30.000000 -1033.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 7		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 8	0x00B40156 30.000000 -943.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 8		00B4	QF NS NR NT					
00B4	178	Colosseum 5 Stage 9	0x00B40153 30.000000 -853.000000 0.005000 1.000000 0.000000 0.000000 0.000000	00B4				Arena 9		00B4	QF NS NR NT					
00B5	181	Mosswart Worship Cavern	0x00B501FF 9.942850 -189.897003 0.005000 0.999687 0.000000 0.000000 -0.024997	00B5				Mosswart Worship Cavern		41.1S 48.8W	LR080 QF NS NR NT					
00B6	182	Azaxis	0x00b60111 30 -333 -11.994999885559 1 0 0 0	00B6	34511		1879765072	Azaxis	0x00AF011F 42.5 -30 0.058 -0.707107 0 0 -0.707107	00AF	QF					
00B6	182	Demon Swarm Matron	0x00b60126 220 -43 -11.994999885559 1 0 0 0	00B6	34513		1879765074	Demon Swarm Matron	0x00AF0129 37.5 -50 0 0.707107 0 0 -0.707107	00AF	QF					
00B6	182	Gladiator Diemos	0x00b6012c 220 -333 -11.994999885559 1 0 0 0	00B6						00AF	QF	Gladiator Diemos				
00B6	182	Killagurg	0x00b6010e 30 -193 -11.994999885559 1 0 0 0	00B6	34512		1879765073	Killagurg	0x00AF011F 37.5 -30 0.0109999 0.707107 0 0 -0.707107	00AF	QF					
00B6	182	Stone Fists	0x00b6010b 30 -43 -11.994999885559 1 0 0 0	00B6	34510		1879765071	Stone Fists	0x00AF011A 42.5 -20 0.0139999 -0.707107 0 0 -0.707107	00AF	QF					
00B6	182	The Master	0x00b60129 220 -193 -11.994999885559 1 0 0 0	00B6						00AF	QF	The Master				
00B7	183	Celestial Hand Stronghold	0x00b70294 110 -20 0.10700000077486 1 0 0 0	00B7	37387		2121584642	Celestial Hand Stronghold	0xE74D003F 177.985 153.954 33.937 -0.382683 0 0 -0.92388	39.7S 83.6E	LR180 QF NS NR NT		Celestial Hand Stronghold Portal Gem	x		
00B8	184	Eldrytch Web Stronghold	0x00b80294 110 -20 0.10700000077486 1 0 0 0	00B8	37385		2077884416	Eldrytch Web Stronghold	0xBDA00023 100.429 55.7656 -0.163 0.948656 0 0 -0.316308	24.7N 49.4E	LR180 QF NS NR NT		Eldrytch Web Stronghold Portal Gem	x		
00B9	185	Radiant Blood Stronghold	0x00b90294 110 -20 0.10700000077486 1 0 0 0	00B9	37163		2013851652	Radiant Blood Stronghold	0x808F0014 55.7513 79.9544 123.937 1 0 0 0.00089572	12.8N 0.7E	LR180 QF NS NR NT		Radiant Blood Stronghold Portal Gem	x		
00BA	186	Corrupted Catacombs	0x00ba0348 121.00700378418 -99.09400177002 0.0049999998882413 0.92387902736664 0 0 -0.38268399238586	00BA	38400		2083917824	Corrupted Catacombs	0xC3610005 10.4474 97.1284 5.79017 0.999616 0 0 -0.0277019	23.9S 54.1E	LR180 QF NS NR NT					
00BB	187	Catacombs of Tar'Kelyn	0x00bb0331 90 -120 0.0049999998882413 1 0 0 0	00BB						55.7S 97.7E	LR180 QF NS NR NT	Statue of Transport				
00BC	188	Prodigal Harbinger's Antechamber (Direct to Boss)	0x00bc0105 20 -30 -35.994998931885 1 0 0 0	00BC						008C	QF NS NR NT	Hollow			Wiki states anyone who enters after harbinger is attacked gets portaled into the pit with him. Did this also happen if you died and came back through the tunnels to the  harbinger portal? - Immortalbob	
00BC	188	Prodigal Harbinger's Antechamber (Entrance 1)	0x00bc012d 0 -20 0.0049999998882413 0.70710700750351 0 0 -0.70710700750351	00BC						008C	QF NS NR NT	Hollow				
00BC	188	Prodigal Harbinger's Antechamber (Entrance 2)	0x00bc0130 20 0 0.0049999998882413 0 0 0 -1	00BC						008C	QF NS NR NT	Hollow				
00BC	188	Prodigal Harbinger's Antechamber (Entrance 3)	0x00bc0134 20 -40 0.0049999998882413 1 0 0 0	00BC						008C	QF NS NR NT	Hollow				
00BC	188	Prodigal Harbinger's Antechamber (Entrance 4)	0x00bc0137 40 -20 0.0049999998882413 -0.70710700750351 0 0 -0.70710700750351	00BC						008C	QF NS NR NT	Hollow				
00C0	192	South Gate (Device Room)	0x00c0019c 80 -90 0.0049999998882413 0 0 0 -1	00C0				Device Room Portal		00C0	QF NS NR NT					
00C0	192	South Gate (Entrance)	0x00c00242 80 -10 6.0050001144409 0 0 0 -1	00C0				South Gate		65.0S 63.8W						
00C1	193	Blighted Rank Moarsman Tunnels	0x00c1037c 30 -110 0.0049999998882413 -0.004204039927572 0 0 -0.99999099969864	00C1	38154		1899700226	Blighted Rank Moarsman Tunnels	0x13B20013 70 60 -0.163 -0.707107 0 0 -0.707107	40.7N 86.5W	LR015 NS NR NT					
00C2	194	Blighted Disgusting Moarsman Tunnels	0x00c2037c 30 -110 0.0049999998882413 -0.004204039927572 0 0 -0.99999099969864	00C2	38155		2121478146	Blighted Disgusting Moarsman Tunnels	0xE733000D 25.9916 108.179 -0.163 0.696304 0 0 -0.717747	60.7S, 83.0E	LR035 NS NR NT					
00C3	195	Blighted Putrid Moarsman Tunnels	0x00c3037c 30 -110 0.0049999998882413 -0.004204039927572 0 0 -0.99999099969864	00C3	38156		1973006336	Blighted Putrid Moarsman Tunnels	0x599B0015 70 108 -0.513 -0.707107 0 0 -0.707107	22.5N, 30.4W	LR055 NS NR NT					
00C4	196	Blighted Desolation Moarsman Tunnels	0x00c4037c 30 -110 0.0049999998882413 -0.004204039927572 0 0 -0.99999099969864	00C4	38157		1948110850	Blighted Desolation Moarsman Tunnels	0x41DD0013 70 60 -0.163 -0.707107 0 0 -0.707107	75.1N, 49.7W	LR075 NS NR NT					
00C5	197	Blighted Grimy Moarsman Tunnels	0x00c5037c 30 -110 0.0049999998882413 -0.004204039927572 0 0 -0.99999099969864	00C5	38152		1894985730	Blighted Grimy Moarsman Tunnels	0x0F330013 70.0122 59.9945 -0.163 -0.707107 0 0 -0.707107	60.9S, 89.8W	LR095 NS NR NT					
00C6	198	Blighted Verdant Moarsman Tunnels	0x00c6037c 30 -110 0.0049999998882413 -0.004204039927572 0 0 -0.99999099969864	00C6	38153		1957638146	Blighted Verdant Moarsman Tunnels	0x4AF3001B 94.013 59.999 -0.163 -0.707107 0 0 -0.707107	92.7N, 42.3W	LR125 NS NR NT					
00C7	199	Crystalline Portal (Level 70)	0x00c703a5 100 -160 0.0049999998882413 1 0 0 0	00C7				Crystalline Portal		17.0S 61.2W	LR070 QF NS					
00C8	200	Egg Orchard (West)	0x00c80371 458.53500366211 -172.20300292969 0.0049999998882413 0.93300801515579 0 0 -0.35985600948334	00C8	31928		1950314498	Egg Orchard West	0x43F7000E 46.9769 129.812 99.937 -0.707107 0 0 -0.707107	96.2N 48.1W	LR140					
00C9	201	Chamber of Scrolls (Air)	0x00c9010c 10 -70 -5.9949998855591 1 0 0 0	00C9				Chamber of Air		00C9	LR100 QF NS NR NT					
00C9	201	Chamber of Scrolls (Earth)	0x00c9014e 140 -70 -5.9949998855591 1 0 0 0	00C9				Chamber of Earth		00C9	LR100 QF NS NR NT					
00C9	201	Chamber of Scrolls (Entrance)	0x00c901a1 80 -360 0.0049999998882413 1 0 0 0	00C9	40331		2095308800	Chamber of Scrolls	0xCE3E001A 90 28 67.7703 0.382683 0 0 -0.92388	52.2S 63.2E	LR100 QF NS NR NT					
00C9	201	Chamber of Scrolls (Reward Room)	0x00c901a9 80.267501831055 -538.18103027344 0.0049999998882413 1 0 0 0	00C9						00C9	LR100 QF NS NR NT	Tanada Sajo				
00C9	201	Chamber of Scrolls (Water)	0x00c90174 270 -70 -5.9949998855591 1 0 0 0	00C9				Chamber of Water		00C9	LR100 QF NS NR NT					
00CA	202	Mar'uun (Entrance) (Mirror)	0x00ca01c4 40 -130 0.0049999998882413 1 0 0 0	00CA				Unknown		Unknown	Unknown	Unknown	Unknown	Unknown	Drops need to be identified. - Immortalbob	
00CA	202	Mar'uun (Portal Space Eddy) (Mirror)	0x00ca0105 24.980100631714 -44.71900177002 -80.039901733398 -0.98777401447296 0 0 0.15589299798012	00CA				Unknown		Unknown	Unknown	Unknown	Unknown	Unknown	Drops need to be identified. - Immortalbob	
00CA	202	Mar'uun (Test Portal?) (Mirror)	0x00ca020e 28.783199310303 -14.881299972534 6.0050001144409 -0.99938201904297 0 0 -0.035141099244356	00CA				Unknown		Unknown	Unknown	Unknown	Unknown	Unknown	Drops need to be identified. - Immortalbob	
00CB	203	Pyramid (Kazyk Ri)	0x00cb0100 0 0 -29.995000839233 0.020795000717044 0 0 -0.99978399276733	00CB	40248		1998356483	Entrance to the pyramid	0x71C8001C 89.7187 90.5282 95.7902 -0.37503 0 0 -0.927013	58.4N, 11.2W	LR125 NS NR NT					
00CB	203	Pyramid (Minik Ra)	0x00cb016e 159.95599365234 -210.75799560547 -29.995000839233 0.020795000717044 0 0 -0.99978399276733	00CB	40250		2000453635	Entrance to the pyramid	0x73C80024 102.306 90.3356 95.7902 0.37282 0 0 -0.927904	58.4N, 9.5W	LR125 NS NR NT					
00CB	203	Pyramid (Nivinizk)	0x00cb01dc 290.00698852539 -10.87380027771 -29.995000839233 -0.0042039598338306 0 0 0.99999099969864	00CB	40249		1999413251	Entrance to the pyramid	0x72CA0026 108.012 123.921 95.7902 0.999904 0 0 -0.013826	60.2N 10.3W	LR125 NS NR NT					
00CC	204	Renegade Fortress (120+)	0x00cc0101 30.087999343872 -65.775398254395 -23.995000839233 -0.0042039998807013 0 0 -0.99999099969864	00CC				Renegade Fortress		29.5S 65.6W	LR120					
00CD	205	Tanada Temple of Black Water (Part 1)	0x00cd0159 70 -240 -17.995000839233 1 0 0 0	00CD				Temple of Black Water		24.2S 57.1E	QF NS NR NT					
00CD	205	Tanada Temple of Black Water (Part 2)	0x00cd020b 210 -260 0.0049999998882413 1 0 0 0	00CD						24.2S 57.1E	QF NS NR NT	Shrine of Black Water				
00CE	206	Upper Catacombs	0x00CE02AA [4.883625 -119.712570 0.005000] 0.911039 0.000000 0.000000 -0.412321	00CE						00D4	LR080 QF NS NR NT	Rock				
00CF	207	The Dark Spiral	0x00CF055F 68.411598 -97.599503 0.005000 0.370633 0.000000 0.000000 0.928779	00CF	32844		1922641935	The Dark Spiral	0x29930023 105.987 53.9843 116.94 0.0735658 0 0 -0.99729	15.9N 68.7W	LR126 QF NS NR NT					
00D0	208	Ringleader's Chambers	0x00d00113 80.136001586914 -150.44999694824 -5.9949998855591 0 0 0 -1	00D0				Ringleader's Chambers		00D0	QF NS NR NT					
00D0	208	Sawato Bandit's Hideout	0x00d00214 39.945598602295 3.1603798866272 12.005000114441 -0.0042037297971547 0 0 -0.99999099969864	00D0						25.3S 56.6E	QF NS NR NT	Trap Door				
